,allstops.stop_id,allstops.stop_name,allstops.latitude,allstops.longitude,allstops.location_type,allstops.parent_station,center_dist
29151,8577072,"Müswangen, Dorf",47.238155,8.28863,,,24.54693187147214
29152,8577073,"Hitzkirch, Friedhof",47.223644,8.258293,,,27.340046068998404
29153,8577075,"Hitzkirch, Bleulikon",47.229256,8.26168,,,26.75049859697864
29154,8577076,"Hitzkirch, Schönegg",47.227486,8.267465,,,26.533763741183098
29155,8577077,"Hämikon, Stockmatt",47.231426,8.273798,,,25.886628295631336
29156,8577078,"Hämikon, Oberdorf",47.239178,8.28006,,,24.978642522799834
29157,8577079,"Hämikon, Berg",47.241253,8.296193,,,23.887719334136943
29158,8577080,"Müswangen, Sonnmatt",47.23852,8.286536,,,24.64342201351643
29159,8577084,"Kleinwangen, Post",47.195797,8.295941,,,27.40772764177354
29160,8577090,"Kleinwangen, Oberdorf",47.198524,8.300317,,,26.96129272419508
29171,8577104,"Hohenrain, Kreuz",47.179283,8.315588,,,27.87230890502473
29172,8577106,"Fenkrieden, Dorf",47.15976,8.369235,,,27.518074402181195
29173,8577107,"Abtwil AG, Post",47.174522,8.355302,,,26.612159495768463
29174,8577108,"Aettenschwil, Post",47.184322,8.371822,,,25.03541402830042
29175,8577109,"Kleinwangen, Ferren",47.191486,8.288154,,,28.15776371479199
29176,8577110,"Kleinwangen, Schmiede",47.194496,8.293786,,,27.624144995916375
29178,8577113,"Hohenrain, Günikon",47.18464,8.314052,,,27.47268657370286
29179,8577114,"Hohenrain, Landschau",47.180656,8.314779,,,27.788299735914805
29180,8577115,"Hohenrain, Oberebersol",47.172688,8.321507,,,28.19582810114911
29181,8577116,"Hohenrain, Ottenhusen",47.164974,8.327428,,,28.64458808268626
29182,8577122,"Fenkrieden, Chüttig",47.16747,8.370538,,,26.715594373644407
29183,8577125,"Sins, Schützenhaus",47.19124,8.384219,,,23.901460240938626
29184,8577127,"Sins, Büel",47.190865,8.39622,,,23.5066991793515
29185,8577128,"Sins, Bahnhof",47.18816,8.397488,,,23.730731219366522
29186,8577132,"Alikon, Oberalikon",47.199356,8.359399,,,24.12445677088779
29187,8577133,"Auw, Oberdorf",47.209568,8.360935,,,23.127485761129016
29188,8577134,"Auw, Mitteldorf",47.211384,8.364241,,,22.817974996826365
29189,8577135,"Auw, Unterdorf",47.210133,8.368759,,,22.736151641629807
29190,8577136,"Auw, Altersheim",47.2085,8.372217,,,22.739781751255865
29192,8577138,"Oberrüti, Dorf",47.165157,8.394415,,,26.135647610761964
29193,8577139,"Dietwil, Zubestrasse",47.149742,8.392834,,,27.74947812780679
29194,8577140,"Dietwil, Kirchenplatz",47.147675,8.392277,,,27.977194812750977
29195,8577141,"Dietwil, Wannenmatt",47.141113,8.395403,,,28.55774875658362
29196,8577142,"Inwil, Körbligen",47.133926,8.396382,,,29.271251562101376
29363,8577309,"Wald ZH, Binzholz",47.281918,8.910066,,,29.86957331173314
29385,8577339,"Wald ZH, Dieterswil",47.28759,8.907209,,,29.446487923741774
29386,8577340,"Wald ZH, Ober-Feld",47.274975,8.901703,,,29.573581670146464
29387,8577341,"Wald ZH, Blattenbach",47.276974,8.89925,,,29.317053079008133
29388,8577342,"Aesch LU, Vorderdorf",47.254387,8.241593,,,26.391882905218566
29389,8577343,"Wald ZH, Tänler",47.279095,8.90314,,,29.498891268114416
29390,8577344,"Wald ZH, Etzelstrasse",47.277058,8.904012,,,29.645222941910205
29392,8577346,"Schongau, Oberschongau",47.272842,8.277158,,,23.035449852369023
29393,8577347,"Schongau, Mettmen",47.268555,8.266647,,,23.960367384703947
29394,8577349,"Aesch LU, Kreuz",47.25732,8.240884,,,26.26877212882588
29395,8577350,"Altwis, Dorf",47.23885,8.250963,,,26.756179724340285
29396,8577351,"Hitzkirch, Schulhaus",47.226406,8.261572,,,26.95460429704972
29398,8577353,"Mägenwil, Bahnhof",47.414272,8.234991,,,23.354498974912065
29399,8577353:0,"Mägenwil, Bahnhof",47.414272,8.234991,,,23.354498974912065
29400,8577353:0:A,"Mägenwil, Bahnhof",47.414272,8.234991,,,23.354498974912065
29402,8577355,"Aesch LU, Berg",47.26093,8.244333,,,25.840523280536676
29403,8577356,"Schongau, Gmeinwärch",47.268856,8.256281,,,24.6194618415667
29545,8577509,"Richterswil, Säumerstrasse",47.202183,8.707801,,,23.31220747993844
29546,8577510,"Wollerau, Höfli",47.20194,8.7065525,,,23.284123413666748
29547,8577511,"Wollerau, Hermannsweid",47.201157,8.707936,,,23.41376865050051
29548,8577512,"Wollerau, Schwalbenboden",47.200302,8.710317,,,23.591013334410956
29549,8577513,"Wollerau, Studenbühl",47.198887,8.713065,,,23.83599255624986
29550,8577514,"Wollerau, Schollenmatt",47.19668,8.714772,,,24.112070080667273
29551,8577515,"Wollerau, Dorfplatz",47.1962,8.719498,,Parent8577515,24.352767484908274
29552,8577515:0,"Wollerau, Dorfplatz",47.1962,8.719498,,Parent8577515,24.352767484908274
29553,8577515:0:A,"Wollerau, Dorfplatz",47.1962,8.719498,,Parent8577515,24.352767484908274
29554,8577515:0:B,"Wollerau, Dorfplatz",47.1962,8.719498,,Parent8577515,24.352767484908274
29555,8577517,"Wollerau, Felsenrain",47.19128,8.715356,,,24.641515976218532
29556,8577518,"Wollerau, Fürti",47.190254,8.711323,,,24.577102841790357
